MPFL,440.0,0.23,447.7,431.1,431.1
MSLB,1605.0,-0.31,1610.0,1601.0,1610.0
NABBC,565.0,0.18,575.0,556.0,570.0
NABIL,1108.0,-0.09,1112.0,1106.0,1112.0
NBF2,11.1,-0.89,11.23,11.1,11.14
NBF3,9.6,0.0,9.62,9.41,9.41
NBL,366.0,0.0,369.9,364.0,365.0
NCCB,273.0,0.04,274.1,268.9,269.0
NEF,11.0,0.73,11.0,10.92,10.97
NFS,720.0,0.7,725.0,710.0,710.0
NGPL,710.1,0.72,719.0,695.0,700.0
NHDL,612.0,6.43,620.1,563.5,575.0
NHPC,422.2,2.48,428.4,406.0,412.0
NIBLPF,11.0,2.23,11.3,10.73,10.73
NIBSF2,9.25,-1.8,9.42,9.25,9.25
NICA,848.0,-0.59,858.0,843.0,853.0
NICGF,12.16,-1.3,12.16,12.16,12.16
NICL,897.0,2.47,900.0,882.0,890.0
NICLBSL,1202.0,-0.66,1222.0,1191.0,1191.0
NICSF,9.11,-1.3,9.28,9.1,9.1
NIFRA,398.9,4.97,400.0,375.0,375.0
NIL,1291.3,1.2,1327.0,1260.0,1260.0
NLBBL,1227.0,-0.27,1250.0,1225.0,1250.0
NLG,935.0,0.21,959.0,933.0,951.6
NLIC,1470.0,-2.39,1506.0,1455.0,1506.0
NLICL,1125.0,0.99,1129.0,1113.0,1129.0
NMB,340.0,-0.58,344.0,338.3,341.0
NMB50,13.2,-1.71,13.2,13.2,13.2
NMBHF1,11.88,0.08,11.88,11.88,11.88
NMBMF,1108.9,0.81,1109.0,1079.0,1079.0
NMFBS,2632.0,0.06,2640.0,2627.0,2640.0
NRIC,1236.0,0.41,1250.0,1221.0,1225.0
NRN,811.0,-1.1,834.5,806.0,820.0
NSLB,1443.0,-0.76,1443.0,1430.2,1430.2
NTC,1550.0,0.65,1562.0,1509.2,1515.0
NUBL,1250.0,-0.01,1255.0,1245.0,1250.0
NYADI,509.0,-1.17,515.0,499.1,504.8
OHL,505.0,-0.2,506.0,502.8,502.8
PBD85,892.2,-2.81,901.0,892.0,901.0
PCBL,356.0,-0.28,358.4,352.0,352.0
PFL,580.0,0.5,588.0,570.0,571.0
PIC,993.1,-2.06,1009.0,990.0,994.1
PICL,760.0,0.93,764.0,755.0,760.0
PLI,634.0,1.93,634.0,610.0,620.0
PLIC,795.0,2.28,795.0,763.0,763.0
PMHPL,380.0,0.0,386.9,375.0,375.0
PPCL,545.5,1.96,546.9,538.0,543.0
PRIN,868.0,0.4,890.0,851.0,851.0
PROFL,392.0,0.77,402.0,381.3,381.3
PRVU,326.0,-0.61,328.0,325.0,327.0
PSF,9.23,0.11,9.23,9.2,9.22
RADHI,713.0,0.99,719.0,700.0,705.0
RBCL,18703.0,1.92,19000.0,18500.0,18500.0
RBCLPO,17000.0,5.56,17300.0,16427.0,16427.0
RHPL,417.0,0.92,421.0,407.0,414.0
RLFL,503.0,0.6,506.0,482.0,490.0
RLI,566.3,0.41,576.0,560.0,560.0
RMDC,1224.0,-1.77,1240.0,1197.0,1240.0
RMF1,9.11,0.11,9.2,9.05,9.05
RSDC,784.0,2.08,803.9,755.0,755.0
RURU,1033.0,-1.43,1068.9,1027.1,1048.0
SABSL,1450.0,0.35,1465.0,1421.1,1421.1
SADBL,421.0,0.0,430.0,420.0,421.0
SAEF,13.96,-0.29,13.96,13.96,13.96
SAHAS,713.0,-0.97,734.4,706.0,734.4
SANIMA,362.0,-0.28,364.0,360.0,363.5
SAPDBL,360.0,-0.28,366.0,354.0,354.0
SBCF,9.15,0.0,9.22,9.06,9.06
SBI,390.0,-1.02,392.0,386.5,390.1
SBL,448.0,-0.09,453.0,445.0,446.0
SCB,502.0,0.2,508.0,500.0,500.0
SDLBSL,1410.0,1.51,1410.0,1365.0,1375.0
SEF,11.25,-1.14,11.38,11.17,11.17
SFCL,402.0,0.98,405.0,397.0,398.1
SFMF,12.06,-1.39,12.06,12.05,12.05
SGI,649.0,0.93,649.0,630.2,630.2
SHEL,500.0,-0.6,515.0,490.0,513.0
SHINE,441.2,1.19,443.0,427.3,428.0
SHIVM,1480.0,0.61,1499.0,1466.2,1480.0
SHL,222.3,-0.31,226.9,219.3,219.3
SHPC,459.1,0.02,465.0,451.0,451.0
SIC,1371.0,0.07,1371.0,1345.0,1345.0
SICL,1595.0,-0.31,1630.0,1568.0,1568.0
SIFC,474.1,1.96,478.0,465.0,469.0
SIGS2,11.45,-1.8,11.46,11.45,11.46
SIL,1017.0,1.7,1030.0,994.0,1014.9
SINDU,424.0,0.95,427.0,420.0,420.0
SJCL,411.0,0.71,416.0,402.0,410.0
SKBBL,1371.0,-0.29,1394.0,1360.0,1375.0
SLBBL,1130.0,-0.44,1150.0,1130.0,1149.9
SLBSL,1360.0,-1.45,1380.0,1360.0,1380.0
SLCF,9.48,3.04,9.5,9.16,9.16
SLI,581.0,1.38,590.0,570.0,575.0
SLICL,807.0,2.01,816.0,791.1,791.1
SMATA,1205.4,-0.04,1230.0,1205.4,1230.0
SMB,1922.0,-4.85,1980.0,1922.0,1980.0
SMFBS,1900.0,0.26,1900.0,1900.0,1900.0
SMFDB,1231.0,-0.08,1250.0,1230.5,1250.0
SPC,667.0,-1.75,689.9,652.2,665.4
SPDL,533.0,0.59,549.0,519.4,530.0
SRBL,282.6,-0.49,285.0,280.3,285.0
SSHL,385.0,-1.79,397.0,375.5,397.0
STC,6422.0,-0.74,6500.0,6422.0,6500.0
SWBBL,1330.0,0.07,1340.0,1320.0,1320.0
TPC,608.0,0.16,637.6,594.9,594.9
TRH,377.0,1.7,383.0,372.0,373.0
UIC,713.0,0.78,713.0,698.1,698.1
ULI,711.1,-0.55,720.0,702.0,702.0
UMHL,431.0,1.65,439.9,418.0,424.0
UMRH,632.0,-1.25,650.0,627.2,627.2
UNHPL,401.0,0.5,406.9,397.0,398.9
UPCL,405.1,0.4,413.0,400.0,403.5
UPPER,753.9,1.33,758.0,737.0,746.0
USLB,1620.0,0.93,1620.0,1600.0,1600.0
VLBS,1360.0,0.0,1360.0,1335.0,1335.0
WNLB,1732.0,-1.78,1830.0,1610.0,1730.0
